key,value
CMPS5j,360
CMPS5P,140
CMPS10,103
CMPS11,242
CMPS12A,352
CMPS12B,358
CMPS101,211
CMPS102,187
CMPS104A,140
CMPS111,120
CMPS112,145
CMPS130,166
